Student,ID,SIS User ID,SIS Login ID,Integration ID,Section,Homework 1
"First 1, Last 1",111111,student_a1,student_a1,1000000000,SECTION1,7.3
"First 2, Last 2",222222,student_b1,student_b1,1000000001,SECTION1,8.0
"First 1, Last 2",333333,student_a2,student_a2,1000000002,SECTION1,7.3
"First 2, Last 3",444444,student_b2,student_b2,1000000003,SECTION1,8.0
"First 1, Last 3",555555,student_a2,student_a2,1000000004,SECTION1,7.13
"First 2, Last 4",666666,student_b2,student_b2,1000000005,SECTION1,8.0
"First 1, Last 4",777777,student_a3,student_a3,1000000006,SECTION1,7.3
"First 2, Last 5",888888,student_b3,student_b3,1000000007,SECTION1,8.0
"First 1, Last 5",999999,student_a3,student_a3,1000000008,SECTION1,7.0
"First 2, Last 6",1111110,student_b3,student_b3,1000000009,SECTION1,8.0
"First 1, Last 6",1222221,student_a4,student_a4,1000000010,SECTION1,8.0
"First 2, Last 7",1333332,student_b4,student_b4,1000000011,SECTION1,8.0
"First 1, Last 7",1444443,student_a4,student_a4,1000000012,SECTION1,8.0
"First 2, Last 8",1555554,student_b4,student_b4,1000000013,SECTION1,7.3
"First 1, Last 8",1666665,student_a5,student_a5,1000000014,SECTION1,6.13
"First 2, Last 9",1777776,student_b5,student_b5,1000000015,SECTION1,7.13
"First 1, Last 9",1888887,student_a5,student_a5,1000000016,SECTION1,8.0
"First 2, Last 10",1999998,student_b5,student_b5,1000000017,SECTION1,7.0
"First 1, Last 10",2111109,student_a6,student_a6,1000000018,SECTION1,8.0
